id,X,Y,M,V
2800,-249.78644,-44.305237,106.68062,0.4012622
2801,329.56592,-284.0726,86.4949,0.40066305
2802,-229.08456,123.6432,28.164585,0.349411
2803,155.7849,267.2586,25.788641,0.3616179
2804,-158.17932,197.54674,126.49277,0.41020522
2805,231.51222,-143.94052,46.137917,0.602492
2806,-192.89786,242.75627,112.815765,0.80102897
2807,-209.26164,-316.487,30.374481,0.8095978
2808,-170.09457,111.77557,174.066,0.28861338
2809,115.95852,371.81302,50.99612,0.85026497
2810,59.854492,109.02227,127.49111,0.94522715
2811,-222.30167,263.3466,89.03658,0.20088579
2812,212.1033,310.25067,101.98701,0.5886119
2813,-29.28511,1.6014943,51.71706,0.22735724
2814,-33.73927,-153.14868,39.372845,0.84512806
2815,-326.21704,-286.03006,106.59935,0.97126895
2816,13.513619,-231.65422,48.107273,0.5854639
2817,-52.709602,-159.52017,157.8491,0.33997032
2818,15.067567,271.61053,80.84108,0.7528611
2819,178.86087,-263.61426,136.5194,0.3878648
2820,237.42928,-370.43814,79.097275,0.783713
2821,-323.15414,-25.993612,90.00063,0.20932746
2822,344.22073,166.75255,37.669933,0.41733652
2823,338.1779,-126.65622,110.54087,0.72409934
2824,294.35016,-319.1059,48.034603,0.96560866
2825,228.1375,-381.18613,57.052116,0.47594365
2826,201.4417,209.3548,60.944748,0.6486146
2827,219.41801,190.45839,124.85607,0.46627793
2828,339.75095,150.57452,151.4563,0.7705187
2829,-104.48983,393.13953,88.69244,0.42736077
2830,234.38249,-41.034294,57.999573,0.4029369
2831,-153.26491,142.5797,94.965096,0.92378753
2832,368.13654,-282.14062,39.07727,0.5815142
2833,-362.28168,-193.80356,123.50701,0.47218773
2834,213.03374,-316.72012,118.87758,0.96869373
2835,-160.57114,-7.5555687,100.12448,0.60095394
2836,-397.6914,276.13135,141.98169,0.36074087
2837,119.28579,409.76303,90.85382,0.3287837
2838,-148.38022,-267.55652,141.7915,0.20770882
2839,-140.96928,324.10315,96.18399,0.51167786
2840,386.26105,237.21864,131.40195,0.5285481
2841,0.039987363,-284.6848,40.651497,0.6002289
2842,-115.00766,316.5267,162.84807,0.82987344
2843,-391.57938,-288.94965,62.56213,0.412891
2844,-340.857,313.28192,102.74464,0.32900172
2845,122.76735,-165.87605,23.633919,0.27100888
2846,140.4873,-321.94614,66.75211,0.20967346
2847,280.04907,-210.27426,107.46703,0.71776366
2848,116.958275,58.751614,161.3963,0.47724566
2849,299.10196,15.995419,139.25229,0.21778439
2850,-324.85974,-17.561226,59.080486,0.29385576
2851,374.12985,-122.55536,97.127495,0.82994634
2852,-333.30576,-198.79887,63.049824,0.24098706
2853,375.33615,-291.2183,37.60781,0.5343364
2854,-400.76825,52.415375,111.68115,0.7643383
2855,-274.78848,258.73044,170.48958,0.6091561
2856,-336.5976,-279.95905,131.29317,0.40965757
2857,258.007,-107.1063,112.119774,0.56652105
2858,-137.79846,176.59584,99.85905,0.82833827
2859,-37.820786,-135.95238,76.38427,0.58674335
2860,-344.49997,128.54843,37.217743,0.25343177
2861,369.6686,47.650818,129.32141,0.6383453
2862,68.65084,53.900196,96.53403,0.9214695
2863,-314.6424,323.72598,137.163,0.61069554
2864,-292.60995,-59.018612,24.32392,0.43388587
2865,397.05185,-270.67816,70.68991,0.81200534
2866,154.84639,-82.522995,137.87494,0.5706928
2867,322.75696,189.71979,112.09181,0.39933082
2868,94.68755,-110.87968,58.68096,0.60164636
2869,32.537323,87.42469,24.25324,0.8123408
2870,-270.05307,-184.49245,159.19623,0.60477597
2871,-136.71503,19.196474,74.8369,0.20563872
2872,-327.28525,-82.502785,124.04201,0.26357082
2873,129.59392,-401.98514,152.20361,0.6333643
2874,85.40695,-116.01712,109.570335,0.33796313
2875,-156.39185,-312.52573,59.147945,0.94146925
