id,digit
2049,6
2050,9
2051,8
2052,0
2053,3
2054,8
2055,5
2056,3
2057,8
2058,4
2059,1
2060,5
2061,7
2062,8
2063,1
2064,8
2065,1
2066,6
2067,1
2068,4
2069,5
2070,4
2071,7
2072,8
2073,5
2074,7
2075,8
2076,1
2077,9
2078,2
2079,8
2080,8
2081,8
2082,6
2083,0
2084,4
2085,1
2086,6
2087,4
2088,4
2089,8
2090,1
2091,8
2092,9
2093,3
2094,6
2095,1
2096,8
2097,2
2098,8
2099,8
2100,9
2101,7
2102,9
2103,8
2104,6
2105,1
2106,8
2107,9
2108,8
2109,2
2110,4
2111,1
2112,9
2113,9
2114,2
2115,0
2116,2
2117,1
2118,2
2119,5
2120,6
2121,9
2122,3
2123,2
2124,1
2125,6
2126,9
2127,1
2128,7
2129,7
2130,9
2131,8
2132,8
2133,8
2134,1
2135,8
2136,0
2137,9
2138,8
2139,0
2140,8
2141,4
2142,4
2143,0
2144,8
2145,4
2146,3
2147,0
2148,9
2149,6
2150,5
2151,6
2152,0
2153,5
2154,8
2155,2
2156,9
2157,5
2158,1
2159,9
2160,2
2161,9
2162,8
2163,1
2164,6
2165,3
2166,2
2167,9
2168,9
2169,2
2170,5
2171,8
2172,8
2173,6
2174,7
2175,5
2176,8
2177,1
2178,2
2179,1
2180,5
2181,9
2182,6
2183,5
2184,1
2185,1
2186,6
2187,0
2188,8
2189,8
2190,1
2191,8
2192,2
2193,6
2194,5
2195,3
2196,8
2197,7
2198,9
2199,8
2200,8
2201,6
2202,1
2203,0
2204,8
2205,8
2206,1
2207,8
2208,5
2209,0
2210,0
2211,2
2212,1
2213,1
2214,1
2215,6
2216,4
2217,8
2218,1
2219,0
2220,4
2221,8
2222,8
2223,8
2224,1
2225,4
2226,8
2227,0
2228,2
2229,8
2230,8
2231,8
2232,0
2233,1
2234,0
2235,4
2236,8
2237,2
2238,6
2239,3
2240,1
2241,8
2242,6
2243,5
2244,2
2245,8
2246,0
2247,2
2248,8
2249,1
2250,8
2251,0
2252,1
2253,6
2254,6
2255,0
2256,0
2257,8
2258,9
2259,8
2260,2
2261,8
2262,3
2263,1
2264,0
2265,8
2266,3
2267,0
2268,8
2269,2
2270,2
2271,8
2272,9
2273,0
2274,4
2275,1
2276,7
2277,6
2278,7
2279,1
2280,4
2281,8
2282,4
2283,8
2284,5
2285,6
2286,9
2287,8
2288,6
2289,8
2290,8
2291,8
2292,1
2293,1
2294,9
2295,2
2296,6
2297,1
2298,1
2299,0
2300,7
2301,1
2302,8
2303,8
2304,2
2305,2
2306,8
2307,8
2308,8
2309,8
2310,8
2311,9
2312,8
2313,8
2314,9
2315,8
2316,4
2317,6
2318,3
2319,6
2320,5
2321,1
2322,5
2323,8
2324,1
2325,8
2326,1
2327,9
2328,9
2329,8
2330,1
2331,6
2332,9
2333,8
2334,9
2335,1
2336,1
2337,2
2338,2
2339,6
2340,9
2341,2
2342,8
2343,1
2344,0
2345,8
2346,8
2347,1
2348,3
2349,1
2350,3
2351,1
2352,2
2353,0
2354,6
2355,1
2356,2
2357,8
2358,9
2359,5
2360,4
2361,2
2362,8
2363,1
2364,6
2365,8
2366,4
2367,8
2368,4
2369,8
2370,4
2371,9
2372,1
2373,7
2374,9
2375,5
2376,8
2377,2
2378,9
2379,8
2380,6
2381,3
2382,4
2383,6
2384,5
2385,8
2386,1
2387,3
2388,2
2389,4
2390,8
2391,1
2392,8
2393,4
2394,8
2395,3
2396,1
2397,1
2398,8
2399,3
2400,5
2401,8
2402,4
2403,8
2404,6
2405,9
2406,3
2407,7
2408,8
2409,8
2410,8
2411,1
2412,3
2413,8
2414,0
2415,8
2416,8
2417,0
2418,8
2419,2
2420,9
2421,9
2422,2
2423,3
2424,8
2425,1
2426,8
2427,1
2428,8
2429,8
2430,8
2431,3
2432,8
2433,1
2434,4
2435,8
2436,0
2437,7
2438,7
2439,8
2440,1
2441,7
2442,6
2443,8
2444,3
2445,9
2446,4
2447,4
2448,8
2449,3
2450,3
2451,8
2452,2
2453,2
2454,4
2455,6
2456,3
2457,6
2458,8
2459,1
2460,8
2461,6
2462,8
2463,2
2464,9
2465,2
2466,1
2467,4
2468,8
2469,1
2470,3
2471,1
2472,8
2473,5
2474,8
2475,4
2476,6
2477,4
2478,7
2479,4
2480,8
2481,5
2482,8
2483,9
2484,6
2485,8
2486,8
2487,2
2488,2
2489,6
2490,1
2491,9
2492,2
2493,8
2494,2
2495,6
2496,8
2497,8
2498,9
2499,7
2500,8
2501,2
2502,8
2503,8
2504,5
2505,8
2506,1
2507,0
2508,8
2509,7
2510,7
2511,5
2512,7
2513,8
2514,8
2515,2
2516,9
2517,1
2518,8
2519,8
2520,5
2521,5
2522,8
2523,9
2524,7
2525,8
2526,5
2527,3
2528,8
2529,8
2530,7
2531,6
2532,7
2533,2
2534,8
2535,5
2536,8
2537,8
2538,4
2539,7
2540,8
2541,8
2542,9
2543,8
2544,5
2545,8
2546,3
2547,9
2548,1
2549,1
2550,5
2551,2
2552,4
2553,2
2554,8
2555,0
2556,0
2557,9
2558,1
2559,8
2560,1
2561,7
2562,5
2563,2
2564,1
2565,1
2566,2
2567,9
2568,6
2569,8
2570,7
2571,6
2572,8
2573,3
2574,5
2575,5
2576,7
2577,3
2578,8
2579,3
2580,2
2581,0
2582,8
2583,6
2584,8
2585,8
2586,3
2587,2
2588,7
2589,0
2590,8
2591,6
2592,7
2593,8
2594,4
2595,4
2596,4
2597,8
2598,9
2599,3
2600,0
2601,0
2602,2
2603,2
2604,9
2605,8
2606,8
2607,3
2608,6
2609,2
2610,8
2611,2
2612,1
2613,5
2614,3
2615,1
2616,8
2617,1
2618,9
2619,8
2620,2
2621,4
2622,8
2623,8
2624,2
2625,8
2626,5
2627,8
2628,8
2629,0
2630,8
2631,4
2632,9
2633,6
2634,1
2635,8
2636,8
2637,8
2638,4
2639,1
2640,6
2641,1
2642,3
2643,8
2644,9
2645,5
2646,8
2647,0
2648,3
2649,8
2650,8
2651,5
2652,6
2653,4
2654,1
2655,7
2656,2
2657,9
2658,8
2659,8
2660,5
2661,0
2662,6
2663,1
2664,2
2665,6
2666,4
2667,8
2668,1
2669,1
2670,8
2671,9
2672,8
2673,8
2674,6
2675,1
2676,5
2677,4
2678,0
2679,8
2680,1
2681,8
2682,8
2683,8
2684,7
2685,8
2686,6
2687,1
2688,5
2689,2
2690,5
2691,8
2692,2
2693,2
2694,1
2695,0
2696,6
2697,6
2698,7
2699,9
2700,1
2701,8
2702,2
2703,8
2704,6
2705,8
2706,1
2707,1
2708,9
2709,1
2710,2
2711,8
2712,6
2713,0
2714,8
2715,8
2716,2
2717,6
2718,8
2719,0
2720,0
2721,3
2722,8
2723,7
2724,7
2725,4
2726,1
2727,8
2728,1
2729,8
2730,6
2731,0
2732,1
2733,9
2734,8
2735,5
2736,8
2737,5
2738,8
2739,8
2740,8
2741,5
2742,7
2743,8
2744,2
2745,3
2746,8
2747,0
2748,4
2749,6
2750,8
2751,7
2752,2
2753,1
2754,8
2755,7
2756,6
2757,8
2758,2
2759,8
2760,4
2761,3
2762,6
2763,8
2764,1
2765,3
2766,3
2767,8
2768,8
2769,2
2770,1
2771,3
2772,4
2773,4
2774,8
2775,8
2776,3
2777,7
2778,8
2779,4
2780,5
2781,0
2782,8
2783,4
2784,2
2785,8
2786,1
2787,8
2788,4
2789,6
2790,8
2791,6
2792,0
2793,9
